2008-02-25 00:19:32,2008-02-25 00:21:23,6
2008-02-25 00:22:46,2008-02-25 09:34:12,10
2008-02-25 09:37:16,2008-02-25 09:38:02,4
2008-02-25 09:49:23,2008-02-25 09:53:28,13
2008-02-25 09:57:21,2008-02-25 10:01:30,19
2008-02-25 10:02:27,2008-02-25 10:12:41,5
2008-02-25 10:19:05,2008-02-25 16:55:37,1
2008-02-25 16:58:44,2008-02-25 16:59:55,20
2008-02-25 17:00:30,2008-02-25 17:01:33,4
2008-02-25 17:19:23,2008-02-25 17:54:54,25
2008-02-25 17:54:55,2008-02-25 17:55:58,17
2008-02-25 17:55:59,2008-02-25 18:31:52,25
2008-02-25 18:31:53,2008-02-25 18:33:37,4
2008-02-25 18:33:38,2008-02-25 19:40:25,25
2008-02-25 19:40:26,2008-02-25 20:22:58,15
2008-02-25 20:22:59,2008-02-25 20:23:10,25
2008-02-25 20:23:11,2008-02-25 20:23:35,17
2008-02-25 20:23:36,2008-02-25 20:23:53,25
2008-02-25 20:23:54,2008-02-25 20:46:27,3
2008-02-25 20:46:28,2008-02-25 21:51:28,25
2008-02-25 21:51:29,2008-02-25 21:52:36,4
2008-02-25 21:52:37,2008-02-25 21:55:26,25
2008-02-25 21:55:32,2008-02-25 21:59:07,16
2008-02-25 23:05:34,2008-02-25 23:19:10,18
2008-02-25 23:21:14,2008-02-25 23:22:37,10
2008-02-25 23:22:38,2008-02-25 23:24:38,6
2008-02-25 23:24:39,2008-02-25 23:28:29,10
2008-02-25 23:28:30,2008-02-25 23:29:14,4
2008-02-25 23:29:15,2008-02-26 00:39:23,10
2008-02-26 00:39:24,2008-02-26 00:39:39,4
2008-02-26 00:39:40,2008-02-26 03:13:38,10
2008-02-26 03:13:39,2008-02-26 03:14:40,4
2008-02-26 03:14:41,2008-02-26 08:35:58,10
2008-02-26 08:35:59,2008-02-26 08:36:38,4
2008-02-26 08:36:39,2008-02-26 09:15:30,10
2008-02-26 09:15:40,2008-02-26 09:19:00,4
2008-02-26 09:26:42,2008-02-26 09:29:08,13
2008-02-26 09:48:07,2008-02-26 09:58:56,5
2008-02-26 10:05:59,2008-02-26 20:34:20,1
2008-02-26 20:36:41,2008-02-26 21:02:33,25
2008-02-26 21:02:34,2008-02-26 21:04:01,4
2008-02-26 21:04:02,2008-02-26 21:39:21,25
2008-02-26 21:39:22,2008-02-26 21:40:12,17
2008-02-26 21:40:13,2008-02-26 22:11:29,25
2008-02-26 22:55:59,2008-02-26 22:58:50,4
2008-02-26 22:59:36,2008-02-26 23:00:34,6
2008-02-26 23:01:33,2008-02-27 05:29:10,10
2008-02-27 05:29:11,2008-02-27 05:30:25,4
2008-02-27 05:30:26,2008-02-27 08:00:48,10
2008-02-27 08:01:22,2008-02-27 08:02:58,13
2008-02-27 08:13:55,2008-02-27 08:16:06,4
2008-02-27 08:16:45,2008-02-27 08:27:19,5
2008-02-27 08:34:24,2008-02-27 18:59:03,1
2008-02-27 18:59:55,2008-02-27 19:19:07,15
2008-02-27 19:19:51,2008-02-27 19:20:10,17
2008-02-27 23:03:22,2008-02-27 23:05:40,4
2008-02-27 23:06:09,2008-02-27 23:14:26,19
2008-02-28 00:08:57,2008-02-28 00:10:45,6
2008-02-28 00:11:05,2008-02-28 00:13:58,4
2008-02-28 00:16:15,2008-02-28 07:06:26,10
