25-Feb-2008 00:19:32,25-Feb-2008 00:21:23,6
25-Feb-2008 00:22:46,25-Feb-2008 09:34:12,10
25-Feb-2008 09:37:16,25-Feb-2008 09:38:02,4
25-Feb-2008 09:49:23,25-Feb-2008 09:53:28,13
25-Feb-2008 09:57:21,25-Feb-2008 10:01:30,19
25-Feb-2008 10:02:27,25-Feb-2008 10:12:41,5
25-Feb-2008 10:19:05,25-Feb-2008 16:55:37,1
25-Feb-2008 16:58:44,25-Feb-2008 16:59:55,20
25-Feb-2008 17:00:30,25-Feb-2008 17:01:33,4
25-Feb-2008 17:19:23,25-Feb-2008 21:55:26,25
25-Feb-2008 17:54:55,25-Feb-2008 17:55:58,17
25-Feb-2008 18:31:53,25-Feb-2008 18:33:37,4
25-Feb-2008 19:40:26,25-Feb-2008 20:22:58,15
25-Feb-2008 20:23:11,25-Feb-2008 20:23:35,17
25-Feb-2008 20:23:54,25-Feb-2008 20:46:27,3
25-Feb-2008 21:51:29,25-Feb-2008 21:52:36,4
25-Feb-2008 21:55:32,25-Feb-2008 21:59:07,16
25-Feb-2008 23:05:34,25-Feb-2008 23:19:10,18
25-Feb-2008 23:21:14,26-Feb-2008 09:15:30,10
25-Feb-2008 23:22:38,25-Feb-2008 23:24:38,6
25-Feb-2008 23:28:30,25-Feb-2008 23:29:14,4
26-Feb-2008 00:39:24,26-Feb-2008 00:39:39,4
26-Feb-2008 03:13:39,26-Feb-2008 03:14:40,4
26-Feb-2008 08:35:59,26-Feb-2008 08:36:38,4
26-Feb-2008 09:15:40,26-Feb-2008 09:19:00,4
26-Feb-2008 09:26:42,26-Feb-2008 09:29:08,13
26-Feb-2008 09:48:07,26-Feb-2008 09:58:56,5
26-Feb-2008 10:05:59,26-Feb-2008 20:34:20,1
26-Feb-2008 20:36:41,26-Feb-2008 22:11:29,25
26-Feb-2008 21:02:34,26-Feb-2008 21:04:01,4
26-Feb-2008 21:39:22,26-Feb-2008 21:40:12,17
