2009-07-24 16:11:20 sink sink ON none
2009-07-24 16:11:45 sink sink ON setting_up_sensors
2009-07-24 16:11:49 sink sink ON setting_up_sensors
2009-07-24 16:11:57 sink sink ON setting_up_sensors
2009-07-24 16:12:00 sink sink ON setting_up_sensors
2009-07-24 16:12:04 sink sink ON setting_up_sensors
2009-07-24 16:12:08 sink sink ON setting_up_sensors
2009-07-24 16:12:13 sink sink ON setting_up_sensors
2009-07-24 16:12:24 toilet_door toilet_door ON setting_up_sensors
2009-07-24 16:12:26 sink sink ON setting_up_sensors
2009-07-24 16:14:24 chair chair ON setting_up_sensors
2009-07-24 16:20:12 chair chair ON setting_up_sensors
2009-07-24 16:23:10 chair chair ON setting_up_sensors
2009-07-24 16:23:43 chair chair ON setting_up_sensors
2009-07-24 16:23:49 piano piano ON setting_up_sensors
2009-07-24 16:24:09 chair chair ON setting_up_sensors
2009-07-24 16:24:15 balcony_door balcony_door ON setting_up_sensors
2009-07-24 16:24:17 chair chair ON setting_up_sensors
2009-07-24 16:25:04 chair chair ON setting_up_sensors
2009-07-24 16:25:09 chair chair ON setting_up_sensors
2009-07-24 16:25:13 sink sink ON setting_up_sensors
2009-07-24 16:25:43 sink sink ON setting_up_sensors
2009-07-24 16:25:47 sink sink ON setting_up_sensors
2009-07-24 16:25:53 sink sink ON setting_up_sensors
2009-07-24 16:26:17 toilet_door toilet_door ON setting_up_sensors
2009-07-24 16:26:32 piano piano ON setting_up_sensors
2009-07-24 16:27:07 balcony_door balcony_door ON setting_up_sensors
2009-07-24 16:28:12 piano piano ON setting_up_sensors
2009-07-24 16:29:17 window window ON setting_up_sensors
2009-07-24 16:29:56 balcony_door balcony_door ON setting_up_sensors
2009-07-24 16:30:01 piano piano ON setting_up_sensors
2009-07-24 16:30:01 balcony_door balcony_door ON setting_up_sensors
2009-07-24 16:30:55 balcony_door balcony_door ON setting_up_sensors
2009-07-24 16:31:16 stove_lid stove_lid ON setting_up_sensors
2009-07-24 16:32:06 balcony_door balcony_door ON setting_up_sensors
2009-07-24 16:32:10 stove_lid stove_lid ON setting_up_sensors
2009-07-24 16:32:12 stove_lid stove_lid ON setting_up_sensors
